,batsmen,R,B,M,fours,sixes,SR,boundary_contribution,100s,50s,times_played,average
0,A Ashish Reddy,280.0,193.0,262.0,17.0,14.0,3163.89,2.1753752160292406,0.0,0.0,23,12.173913043478262
1,A Chandila,4.0,7.0,16.0,0.0,0.0,66.66,0.0,0.0,0.0,2,2.0
2,A Chopra,53.0,71.0,0.0,7.0,0.0,370.36,0.4606643356643357,0.0,0.0,6,8.833333333333334
3,A Choudhary,25.0,20.0,30.0,1.0,1.0,491.65999999999997,0.23333333333333334,0.0,0.0,3,8.333333333333334
4,A Dananjaya,4.0,5.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,1,4.0
5,A Flintoff,62.0,53.0,18.0,5.0,2.0,367.68,0.32386363636363635,0.0,0.0,3,20.666666666666668
6,A Kumble,35.0,47.0,19.0,3.0,0.0,1212.83,0.46785714285714286,0.0,0.0,17,2.0588235294117645
7,A Mishra,362.0,389.0,373.0,29.0,5.0,4886.32,2.4880123997865926,0.0,0.0,56,6.464285714285714
8,A Mithun,34.0,26.0,4.0,4.0,1.0,705.35,0.6484848484848484,0.0,0.0,8,4.25
9,A Mukund,19.0,22.0,36.0,1.0,0.0,90.47,0.05263157894736842,0.0,0.0,2,9.5
10,A Nehra,41.0,62.0,69.0,3.0,1.0,640.0,0.24747474747474746,0.0,0.0,22,1.8636363636363635
11,A Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
12,A Singh,2.0,10.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,5,0.4
13,A Symonds,974.0,750.0,0.0,74.0,41.0,4207.249999999999,3.2678914068655858,1.0,5.0,36,27.055555555555557
14,A Uniyal,4.0,7.0,0.0,0.0,0.0,66.66,0.0,0.0,0.0,2,2.0
15,A Zampa,5.0,8.0,12.0,1.0,0.0,71.42,0.2,0.0,0.0,2,2.5
16,AA Bilakhia,69.0,85.0,6.0,5.0,0.0,572.9,0.29924242424242425,0.0,0.0,7,9.857142857142858
17,AA Chavan,12.0,11.0,13.0,2.0,0.0,349.99,0.39285714285714285,0.0,0.0,3,4.0
18,AA Jhunjhunwala,217.0,210.0,30.0,19.0,5.0,1478.0399999999997,1.6077694180474715,0.0,1.0,16,13.5625
19,AA Noffke,9.0,10.0,0.0,1.0,0.0,90.0,0.1111111111111111,0.0,0.0,1,9.0
20,AB Agarkar,179.0,154.0,33.0,13.0,5.0,2176.79,1.394207589795825,0.0,0.0,22,8.136363636363637
21,AB Barath,42.0,42.0,0.0,5.0,1.0,232.22,0.2943722943722944,0.0,0.0,3,14.0
22,AB Dinda,26.0,48.0,45.0,2.0,0.0,783.33,0.30952380952380953,0.0,0.0,17,1.5294117647058822
23,AB McDonald,123.0,100.0,47.0,9.0,4.0,982.5,0.7203823953823953,0.0,0.0,9,13.666666666666666
24,AB de Villiers,4395.0,2906.0,2867.0,357.0,212.0,18819.499999999996,14.89285326935003,3.0,33.0,142,30.950704225352112
25,AC Blizzard,120.0,90.0,1.0,21.0,2.0,686.04,0.959353471118177,0.0,1.0,7,17.142857142857142
26,AC Gilchrist,2069.0,1495.0,690.0,239.0,92.0,9491.749999999998,11.282505367054116,2.0,11.0,80,25.8625
27,AC Thomas,20.0,19.0,31.0,1.0,1.0,299.99,0.22619047619047616,0.0,0.0,4,5.0
28,AC Voges,181.0,143.0,0.0,15.0,3.0,870.85,0.6616795366795366,0.0,0.0,7,25.857142857142858
29,AD Hales,148.0,118.0,0.0,13.0,6.0,676.92,0.7716430716430716,0.0,0.0,6,24.666666666666668
30,AD Mascarenhas,79.0,78.0,33.0,5.0,1.0,1027.49,0.6712962962962963,0.0,0.0,11,7.181818181818182
31,AD Mathews,724.0,575.0,625.0,44.0,29.0,4824.27,3.394673952956256,0.0,1.0,42,17.238095238095237
32,AD Nath,90.0,98.0,129.0,7.0,2.0,752.8199999999999,0.5652271704903283,0.0,0.0,10,9.0
33,AD Russell,1400.0,751.0,829.0,96.0,120.0,8266.69,6.295857015008188,0.0,8.0,52,26.923076923076923
34,AF Milne,7.0,12.0,22.0,0.0,0.0,129.16,0.0,0.0,0.0,3,2.3333333333333335
35,AG Murtaza,10.0,14.0,6.0,1.0,0.0,225.0,0.2,0.0,0.0,3,3.3333333333333335
36,AG Paunikar,49.0,58.0,0.0,9.0,0.0,327.76,0.7555555555555555,0.0,0.0,5,9.8
37,AJ Finch,1737.0,1329.0,1675.0,176.0,67.0,8277.499999999998,8.57333376018113,0.0,13.0,73,23.794520547945204
38,AJ Turner,3.0,10.0,22.0,0.0,0.0,42.85,0.0,0.0,0.0,4,0.75
39,AJ Tye,85.0,70.0,53.0,6.0,4.0,1139.9900000000002,0.6892207792207792,0.0,0.0,12,7.083333333333333
40,AL Menaria,401.0,356.0,226.0,24.0,18.0,2223.83,1.9933667065774636,0.0,0.0,23,17.434782608695652
41,AM Nayar,672.0,577.0,388.0,55.0,20.0,4831.709999999999,3.688914869002736,0.0,0.0,50,13.44
42,AM Rahane,3820.0,3133.0,4081.0,404.0,74.0,13632.100000000002,14.368624112218882,2.0,27.0,132,28.939393939393938
43,AN Ahmed,36.0,26.0,18.0,4.0,1.0,1145.6000000000001,0.8111111111111111,0.0,0.0,6,6.0
44,AN Ghosh,7.0,8.0,2.0,1.0,0.0,100.0,0.14285714285714285,0.0,0.0,2,3.5
45,AP Dole,34.0,22.0,0.0,3.0,1.0,266.65999999999997,0.35,0.0,0.0,2,17.0
46,AP Majumdar,87.0,76.0,108.0,7.0,2.0,459.0,0.4512544802867383,0.0,0.0,4,21.75
47,AP Tare,339.0,273.0,354.0,40.0,11.0,3208.57,2.9809728227951817,0.0,1.0,28,12.107142857142858
48,AR Bawne,12.0,12.0,14.0,1.0,0.0,100.0,0.08333333333333333,0.0,0.0,1,12.0
49,AR Patel,796.0,630.0,906.0,47.0,35.0,7575.1900000000005,4.432707696743065,0.0,0.0,63,12.634920634920634
50,AS Joseph,15.0,13.0,40.0,2.0,0.0,115.38,0.13333333333333333,0.0,0.0,2,7.5
51,AS Rajpoot,17.0,31.0,22.0,2.0,0.0,249.35,0.375,0.0,0.0,5,3.4
52,AS Raut,194.0,167.0,56.0,13.0,7.0,1485.88,0.9379976456292245,0.0,0.0,16,12.125
53,AS Yadav,49.0,39.0,0.0,5.0,2.0,624.1899999999999,0.5791666666666666,0.0,0.0,6,8.166666666666666
