match_no,team_1,team_2,batsmen,wicket_status,R,B,M,fours,sixes,SR,special_role,dismissal_mode,bowler_name,fielder,is_fielder_involved,match_date
1,Mumbai Indians,Chennai Super Kings,ST Jayasuriya,c Hayden b Thushara,26.0,20.0,0.0,5.0,0.0,130.0,normal player,caught,Thushara,Hayden,1,2009-04-18
1,Mumbai Indians,Chennai Super Kings,SR Tendulkar,not out,59.0,49.0,0.0,7.0,0.0,120.4,captain,not out,no bowler,no fielder,0,2009-04-18
1,Mumbai Indians,Chennai Super Kings,S Dhawan,c Dhoni b Gony,22.0,21.0,0.0,2.0,0.0,104.76,normal player,caught,Gony,Dhoni,1,2009-04-18
1,Mumbai Indians,Chennai Super Kings,JP Duminy,c & b Gony,9.0,7.0,0.0,1.0,0.0,128.57,normal player,caught,Gony,Gony,1,2009-04-18
1,Mumbai Indians,Chennai Super Kings,DJ Bravo,c Hayden b Joginder Sharma,5.0,4.0,0.0,1.0,0.0,125.0,normal player,caught,Joginder Sharma,Hayden,1,2009-04-18
1,Mumbai Indians,Chennai Super Kings,AM Nayar,c Thushara b Oram,35.0,14.0,0.0,2.0,3.0,250.0,normal player,caught,Oram,Thushara,1,2009-04-18
1,Mumbai Indians,Chennai Super Kings,Harbhajan Singh,run out (Oram),4.0,2.0,0.0,1.0,0.0,200.0,normal player,run out,no bowler,no fielder,0,2009-04-18
1,Mumbai Indians,Chennai Super Kings,Z Khan,c Ashwin b Flintoff,2.0,3.0,0.0,0.0,0.0,66.66,normal player,caught,Flintoff,Ashwin,1,2009-04-18
1,Mumbai Indians,Chennai Super Kings,PR Shah,not out,0.0,0.0,0.0,0.0,0.0,0.0,wicket keeper,not out,no bowler,no fielder,0,2009-04-18
1,Mumbai Indians,Chennai Super Kings,PA Patel,c Tendulkar b Malinga,0.0,2.0,0.0,0.0,0.0,0.0,wicket keeper,caught,Malinga,Tendulkar,1,2009-04-18
1,Mumbai Indians,Chennai Super Kings,ML Hayden,c Khan b Jayasuriya,44.0,35.0,0.0,6.0,1.0,125.71,normal player,caught,Jayasuriya,Khan,1,2009-04-18
1,Mumbai Indians,Chennai Super Kings,SK Raina,c Raje b Bravo,8.0,9.0,0.0,1.0,0.0,88.88,normal player,caught,Bravo,Raje,1,2009-04-18
1,Mumbai Indians,Chennai Super Kings,A Flintoff,c & b Harbhajan Singh,24.0,23.0,0.0,2.0,1.0,104.34,normal player,caught,Harbhajan Singh,Harbhajan Singh,1,2009-04-18
1,Mumbai Indians,Chennai Super Kings,MS Dhoni,b Malinga,36.0,26.0,0.0,1.0,2.0,138.46,captain,bowled,Malinga,no fielder,0,2009-04-18
1,Mumbai Indians,Chennai Super Kings,JDP Oram,c †Shah b Jayasuriya,8.0,6.0,0.0,0.0,1.0,133.33,normal player,caught,Jayasuriya,†Shah,1,2009-04-18
1,Mumbai Indians,Chennai Super Kings,S Badrinath,c Bravo b Malinga,0.0,2.0,0.0,0.0,0.0,0.0,normal player,caught,Malinga,Bravo,1,2009-04-18
1,Mumbai Indians,Chennai Super Kings,Joginder Sharma,not out,16.0,15.0,0.0,0.0,1.0,106.66,normal player,not out,no bowler,no fielder,0,2009-04-18
1,Mumbai Indians,Chennai Super Kings,T Thushara,not out,1.0,2.0,0.0,0.0,0.0,50.0,normal player,not out,no bowler,no fielder,0,2009-04-18
2nd match (D/N),Royal Challengers Bangalore,Rajasthan Royals,JD Ryder,c †Rawat b Mascarenhas,0.0,2.0,0.0,0.0,0.0,0.0,normal player,caught,Mascarenhas,†Rawat,1,2009-04-18
2nd match (D/N),Royal Challengers Bangalore,Rajasthan Royals,RV Uthappa,c †Rawat b Mascarenhas,3.0,10.0,0.0,0.0,0.0,30.0,wicket keeper,caught,Mascarenhas,†Rawat,1,2009-04-18
2nd match (D/N),Royal Challengers Bangalore,Rajasthan Royals,LRPL Taylor,b Mascarenhas,0.0,1.0,0.0,0.0,0.0,0.0,normal player,bowled,Mascarenhas,no fielder,0,2009-04-18
2nd match (D/N),Royal Challengers Bangalore,Rajasthan Royals,KP Pietersen,c NK Patel b Henderson,32.0,30.0,0.0,4.0,0.0,106.66,captain,caught,Henderson,NK Patel,1,2009-04-18
2nd match (D/N),Royal Challengers Bangalore,Rajasthan Royals,R Dravid,c Warne b MM Patel,66.0,48.0,0.0,8.0,1.0,137.5,normal player,caught,MM Patel,Warne,1,2009-04-18
2nd match (D/N),Royal Challengers Bangalore,Rajasthan Royals,V Kohli,b Warne,3.0,8.0,0.0,0.0,0.0,37.5,normal player,bowled,Warne,no fielder,0,2009-04-18
2nd match (D/N),Royal Challengers Bangalore,Rajasthan Royals,B Akhil,b Warne,9.0,9.0,0.0,1.0,0.0,100.0,normal player,bowled,Warne,no fielder,0,2009-04-18
2nd match (D/N),Royal Challengers Bangalore,Rajasthan Royals,P Kumar,c & b MM Patel,8.0,10.0,0.0,0.0,1.0,80.0,normal player,caught,MM Patel,MM Patel,1,2009-04-18
2nd match (D/N),Royal Challengers Bangalore,Rajasthan Royals,R Vinay Kumar,not out,8.0,2.0,0.0,2.0,0.0,400.0,normal player,not out,no bowler,no fielder,0,2009-04-18
2nd match (D/N),Royal Challengers Bangalore,Rajasthan Royals,DW Steyn,not out,0.0,0.0,0.0,0.0,0.0,0.0,normal player,not out,no bowler,no fielder,0,2009-04-18
2nd match (D/N),Royal Challengers Bangalore,Rajasthan Royals,GC Smith,c Dravid b Kumar,2.0,11.0,0.0,0.0,0.0,18.18,normal player,caught,Kumar,Dravid,1,2009-04-18
2nd match (D/N),Royal Challengers Bangalore,Rajasthan Royals,SA Asnodkar,c Kohli b Kumar,0.0,2.0,0.0,0.0,0.0,0.0,normal player,caught,Kumar,Kohli,1,2009-04-18
2nd match (D/N),Royal Challengers Bangalore,Rajasthan Royals,NK Patel,c Kumble b Ryder,4.0,16.0,0.0,0.0,0.0,25.0,normal player,caught,Ryder,Kumble,1,2009-04-18
2nd match (D/N),Royal Challengers Bangalore,Rajasthan Royals,T Henderson,b Ryder,11.0,15.0,0.0,0.0,1.0,73.33,normal player,bowled,Ryder,no fielder,0,2009-04-18
2nd match (D/N),Royal Challengers Bangalore,Rajasthan Royals,YK Pathan,c Ryder b Kumble,11.0,14.0,0.0,1.0,0.0,78.57,normal player,caught,Kumble,Ryder,1,2009-04-18
2nd match (D/N),Royal Challengers Bangalore,Rajasthan Royals,AD Mascarenhas,run out (Kohli/†Uthappa),0.0,1.0,0.0,0.0,0.0,0.0,normal player,run out,no bowler,no fielder,0,2009-04-18
2nd match (D/N),Royal Challengers Bangalore,Rajasthan Royals,RA Jadeja,c Kohli b Kumble,11.0,10.0,0.0,0.0,1.0,110.0,normal player,caught,Kumble,Kohli,1,2009-04-18
2nd match (D/N),Royal Challengers Bangalore,Rajasthan Royals,SK Warne,st †Uthappa b Kumble,3.0,9.0,0.0,0.0,0.0,33.33,captain,stumped,Kumble,†Uthappa,1,2009-04-18
2nd match (D/N),Royal Challengers Bangalore,Rajasthan Royals,M Rawat,not out,4.0,7.0,0.0,0.0,0.0,57.14,wicket keeper,not out,no bowler,no fielder,0,2009-04-18
2nd match (D/N),Royal Challengers Bangalore,Rajasthan Royals,MM Patel,c Steyn b Kumble,0.0,2.0,0.0,0.0,0.0,0.0,normal player,caught,Kumble,Steyn,1,2009-04-18
2nd match (D/N),Royal Challengers Bangalore,Rajasthan Royals,Kamran Khan,c †Uthappa b Kumble,3.0,5.0,0.0,0.0,0.0,60.0,normal player,caught,Kumble,†Uthappa,1,2009-04-18
3rd match,Kings XI Punjab,Delhi Daredevils,RS Bopara,lbw b Vettori,22.0,16.0,0.0,0.0,2.0,137.5,normal player,lbw,Vettori,no fielder,0,2009-04-19
