match_date,Ground,Team 1,Team 2,Winner,year,month,day,win_mode,margin,toss_winner,toss_decision,match_no
2008-04-18,"Bengaluru, Bangalore",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,2008,4,18,Runs,140.0,Royal Challengers Bangalore,field first,1
2008-04-19,"Mohali, Chandigarh",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,2008,4,19,Runs,33.0,Chennai Super Kings,bat first,2
2008-04-19,Delhi,Delhi Capitals,Rajasthan Royals,Delhi Capitals,2008,4,19,Wickets,9.0,Rajasthan Royals,bat first,3
2008-04-20,Kolkata,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,2008,4,20,Wickets,5.0,Deccan Chargers,bat first,4
2008-04-20,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,2008,4,20,Wickets,5.0,Mumbai Indians,bat first,5
2008-04-21,Jaipur,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,2008,4,21,Wickets,6.0,Kings XI Punjab,bat first,6
2008-04-22,Hyderabad,Deccan Chargers,Delhi Capitals,Delhi Capitals,2008,4,22,Wickets,9.0,Deccan Chargers,bat first,7
2008-04-23,Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,2008,4,23,Runs,6.0,Mumbai Indians,field first,8
2008-04-24,Hyderabad,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,2008,4,24,Wickets,3.0,Rajasthan Royals,field first,9
2008-04-25,"Mohali, Chandigarh",Kings XI Punjab,Mumbai Indians,Kings XI Punjab,2008,4,25,Runs,66.0,Mumbai Indians,field first,10
2008-04-26,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,2008,4,26,Wickets,9.0,Kolkata Knight Riders,bat first,11
2008-04-26,"Bengaluru, Bangalore",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,2008,4,26,Wickets,7.0,Rajasthan Royals,field first,12
2008-04-27,"Mohali, Chandigarh",Kings XI Punjab,Delhi Capitals,Kings XI Punjab,2008,4,27,Wickets,4.0,Delhi Capitals,bat first,13
2008-04-27,Mumbai,Mumbai Indians,Deccan Chargers,Deccan Chargers,2008,4,27,Wickets,10.0,Deccan Chargers,field first,14
2008-04-28,"Bengaluru, Bangalore",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,2008,4,28,Runs,13.0,Chennai Super Kings,bat first,15
2008-04-29,Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,2008,4,29,Wickets,7.0,Kolkata Knight Riders,bat first,16
2008-04-30,Delhi,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,2008,4,30,Runs,10.0,Royal Challengers Bangalore,field first,17
